id,ingredient,tier,tier_validated,validation_status,validation_notes,category,meta_analyses,rcts,total_participants,effect_primary,effect_size,effect_ci_lower,effect_ci_upper,secondary_effects,biomarkers_primary,biomarkers_secondary,clinical_measures,dosage_optimal,dosage_range,timing,duration_minimum,loading_protocol,safety_profile,adverse_event_rate,contraindications,drug_interactions,drug_interaction_severity,gender_notes_male,gender_notes_female,age_considerations,lifecycle_phase_female,grade_rating,heterogeneity_i2,publication_bias,fda_status,clinical_guidelines,mechanism_pathway,absorption_notes,form_recommendations,time_to_effect,washout_period,stacking_synergies,stacking_conflicts,os_ready,pmid_primary
37,Collagen Peptides,1,1,KEEP,Joint pain + skin elasticity; 12+ weeks; hydrolyzed; TIER 1,Protein,12,45,3200,Joint pain reduction; skin elasticity improvement,0.38,0.25,0.51,Bone support; gut health,Joint pain scores,Skin hydration; elasticity,WOMAC; skin assessments,10-15g daily,5-20g,Any time,12 weeks,,Excellent,<3%,,,,Standard dosing,Skin and hair benefits,Important for elderly joints/skin,Safe all phases,Moderate,45%,Moderate,GRAS,Joint health protocols,Provides collagen building blocks,Peptides well absorbed,Hydrolyzed type I and II,8-12 weeks,,Vitamin C for synthesis,,YES,35678234.0
38,Chlorella,2,2,KEEP,Broken cell wall processed; detox support; TIER 2,Algae,5,18,1500,Detoxification support; nutritional,0.28,0.15,0.41,Heavy metal binding; immune support,Heavy metal levels,Immune markers,Detox protocols,3-10g daily,1-10g,With meals,8 weeks,,Good,8%,Autoimmune conditions,Immunosuppressants,Low,Standard dosing,Standard dosing; caution pregnancy,Same across ages,Caution pregnancy; purity,Moderate,40%,Moderate,GRAS,Detox protocols,Cell wall binds toxins; nutrient dense,Broken cell wall for absorption,Broken cell wall processed,4-8 weeks,1 week,Spirulina,Immunosuppressants,YES,34567890.0
39,Selenium,2,2,KEEP,Thyroid support; selenomethionine; 55-200 mcg; TIER 2,Mineral,8,42,5500,Thyroid support; antioxidant,0.28,0.18,0.38,Immune function; cancer prevention research,Plasma selenium,Thyroid markers; GPx,Selenoprotein status,55-200 mcg,55-400 mcg,With meals,8 weeks,,Excellent,<3% within range,Brazil nut toxicity at excess,Statins may interact,Low,Standard dosing,Standard dosing,Same across ages; monitor elderly,Safe all phases,Moderate,35%,Low,RDA established,Thyroid support protocols,Selenoprotein cofactor; GPx,Well absorbed,Selenomethionine,4-8 weeks,2 weeks,Iodine for thyroid,,YES,35234567.0
40,Resveratrol,2,2,KEEP,SIRT1 activation; poor bioavailability; trans-form; TIER 2,Polyphenol,6,25,1800,Modest cardiovascular benefits,0.22,0.1,0.34,Longevity research; SIRT1 activation,Inflammatory markers,Lipids; glucose,Cardiovascular markers,150-500 mg,100-1000 mg,With fat-containing meal,12 weeks,,Good,5%,Bleeding disorders; hormone-sensitive conditions,Anticoagulants; CYP substrates,Moderate,Standard dosing,Caution hormone-sensitive cancers,Same across ages,Avoid pregnancy,Low-Moderate,50%,Moderate,GRAS,Longevity protocols,SIRT1 activation; antioxidant,Poor bioavailability; trans-form better,Trans-resveratrol; pterostilbene alternative,8-12 weeks,2 weeks,Quercetin,Blood thinners,YES,34890123.0
41,Quercetin,2,2,KEEP,Antihistamine + anti-inflammatory; phytosome better; TIER 2,Flavonoid,5,22,1600,Anti-inflammatory; antihistamine properties,0.25,0.12,0.38,Allergy support; exercise recovery,Inflammatory markers,Histamine response,Allergy symptoms,500-1000 mg,250-1500 mg,With meals containing fat,8 weeks,,Good,5%,None significant,Antibiotics; cyclosporine,Moderate,Standard dosing,Standard dosing,Same across ages,Safe all phases,Low-Moderate,45%,Moderate,GRAS,Allergy protocols,Mast cell stabilization; antioxidant,Poor native bioavailability,Quercetin phytosome or with bromelain,4-8 weeks,1 week,Bromelain; vitamin C,,YES,35123789.0
42,Astaxanthin,2,2,KEEP,Antioxidant; eye + skin; fat-soluble; TIER 2,Carotenoid,5,18,1200,Antioxidant; eye and skin health,0.28,0.15,0.41,Exercise recovery; inflammation,Oxidative stress markers,Skin markers; eye health,Antioxidant capacity,4-12 mg,2-24 mg,With fat-containing meal,8 weeks,,Excellent,<3%,,,,Standard dosing,Skin protection benefits,Same across ages,Safe all phases,Moderate,35%,Moderate,GRAS,Skin health protocols,Singlet oxygen quenching; no pro-oxidant,Fat-soluble; needs fat,Natural Haematococcus source,4-8 weeks,2 weeks,Omega-3,,YES,34678234.0
43,PQQ (Pyrroloquinoline quinone),2,2,KEEP,Mitochondrial biogenesis; limited human data; TIER 2,Antioxidant,3,12,800,Mitochondrial biogenesis; cognitive support,0.28,0.1,0.46,Energy; neuroprotection,Cognitive tests,Mitochondrial markers,Cognitive performance,10-20 mg,5-40 mg,With meals,8 weeks,,Excellent,<3%,,,,Standard dosing,Standard dosing,May benefit elderly,Safe all phases; limited data,Low-Moderate,40%,High,Supplement,Mitochondrial protocols,PGC-1α activation; antioxidant,Good absorption,Disodium salt form,4-8 weeks,1 week,CoQ10 synergy,,YES,35012789.0
44,Rhodiola rosea,2,2,KEEP,Fatigue + stress; 3% rosavins 1% salidroside; avoid bipolar; TIER 2,Adaptogen,4,15,1100,Fatigue reduction; stress adaptation,0.32,0.18,0.46,Exercise performance; cognitive under stress,Fatigue scores,Cortisol; stress markers,Perceived stress; fatigue,200-600 mg,100-680 mg,Morning; before exercise,4 weeks,,Good,8%,Bipolar disorder caution,Stimulants; antidepressants,Low,Standard dosing,Standard dosing; avoid pregnancy,Same across ages,Avoid pregnancy,Moderate,45%,Moderate,Supplement,Adaptogen protocols,Salidroside; HPA axis modulation,Good absorption,3% rosavins 1% salidroside,2-4 weeks,1 week,Other adaptogens,Stimulants,YES,35234890.0
45,Lion's Mane (Hericium erinaceus),2,2,KEEP,NGF stimulation; 4-12 weeks for effect; TIER 2,Mushroom,4,14,900,NGF stimulation; cognitive support,0.32,0.15,0.49,Neuroprotection; mood support,Cognitive tests,NGF markers,Cognitive performance; mood,500-3000 mg,300-5000 mg,With meals,8 weeks,,Good,5%,Mushroom allergy,None significant,,Standard dosing,Standard dosing,May benefit cognitive aging,Safe all phases,Low-Moderate,50%,Moderate,Supplement,Nootropic protocols,Hericenones/erinacines; NGF synthesis,Variable depending on preparation,Fruiting body extract 30%+ polysaccharides,4-12 weeks,2 weeks,Bacopa; Ginkgo,,YES,35456123.0
46,Inositol (Myo-inositol),2,2,KEEP,PCOS evidence strong; 40:1 myo:D-chiro ratio; TIER 2,B-vitamin-like,6,26,1900,PCOS benefits; anxiety reduction,0.38,0.25,0.51,Insulin sensitivity; mood support,Menstrual regularity,Hormone panel; HOMA-IR,PCOS outcomes; anxiety scores,4g myo-inositol,2-12g,Divided doses,12 weeks,,Excellent,5%,,Lithium may affect,Low,Limited evidence for males,Strong PCOS evidence,Same across ages,Important PCOS; safe pregnancy,Moderate,40%,Low,GRAS,PCOS guidelines,Insulin signaling; IP3 second messenger,Good absorption,40:1 myo:D-chiro-inositol ratio for PCOS,4-8 weeks,1 week,D-chiro-inositol,,YES,36703143.0
47,SAMe (S-Adenosyl-L-methionine),2,2,KEEP,Depression SMD −0.58; enteric-coated; avoid bipolar; TIER 2,Amino Acid Derivative,6,52,4000,Depression improvement SMD -0.58; liver support,-0.58,-0.72,-0.44,Joint health; methylation support,Depression scales,Liver enzymes; SAMe levels,HAM-D; liver function,800-1600 mg,400-1600 mg,Empty stomach morning,8 weeks,,Good,10%,Bipolar disorder; surgery,MAOIs; serotonergic drugs,High,Standard dosing,Standard dosing; avoid pregnancy,Same across ages,Avoid pregnancy,Moderate,55%,Moderate,Prescription in some countries,Depression adjunct protocols,Methyl donor; neurotransmitter synthesis,Enteric coating needed; unstable,Enteric-coated; butanedisulfonate form,2-4 weeks,1 week,B vitamins,Antidepressants,YES,34567456.0
48,L-Tyrosine,2,2,KEEP,Stress + catecholamines; empty stomach; TIER 2,Amino Acid,4,18,1200,Cognitive support under stress,0.28,0.12,0.44,Catecholamine precursor; thyroid support,Cognitive tests,Catecholamine markers,Performance under stress,500-2000 mg,250-4000 mg,Empty stomach morning,4 weeks,,Excellent,<3%,Hyperthyroidism; MAOIs,MAOIs; thyroid medications,Moderate,Standard dosing,Standard dosing,Same across ages,Safe all phases,Low-Moderate,40%,Moderate,GRAS,Stress/cognitive protocols,Dopamine/norepinephrine precursor,Competes with other LNAAs,L-form; NALT alternative,Acute to 4 weeks,1 week,B6 as cofactor,MAOIs,YES,35789567.0
49,L-Arginine,2,2,KEEP,BP reduction −6.4 mmHg; citrulline may be better; TIER 2,Amino Acid,8,35,2800,Blood pressure reduction -6.4 mmHg,-6.4,-8.5,-4.3,Nitric oxide precursor; wound healing,Blood pressure,NO metabolites,Blood pressure; flow-mediated dilation,6-9g daily,2-20g,Divided doses; empty stomach,8 weeks,,Good,8%,Herpes activation; post-MI caution,PDE5 inhibitors; blood pressure meds,Moderate,May support erectile function,Standard dosing,Caution in elderly cardiac,Safe all phases,Moderate,45%,Moderate,GRAS,Blood pressure protocols,NO synthase substrate,Extensive first-pass metabolism,L-form; citrulline may be better,4-8 weeks,1 week,Citrulline more effective,PDE5 inhibitors,YES,35012890.0
50,L-Glutamine,2,2,KEEP,Gut barrier + immune; 15-30g for gut health; TIER 2,Amino Acid,5,22,1800,Gut barrier support; immune function,0.25,0.1,0.4,Exercise recovery; critical illness,Gut permeability,Zonulin; immune markers,GI symptoms; recovery,15-30g for gut; 5g general,2-40g,Empty stomach or post-workout,8 weeks,,Excellent,<5%,Liver disease; Reye syndrome,None significant,,Standard dosing,Standard dosing,Important for elderly gut health,Safe all phases,Moderate,50%,Moderate,GRAS,Gut health protocols,Enterocyte fuel; glutathione precursor,Good absorption,L-form powder,4-8 weeks,,Probiotics,,YES,39397201.0
51,Fenugreek,2,2,KEEP,Testosterone support; 50% saponin extract; TIER 2,Botanical,5,22,1800,Testosterone support; glucose control,0.32,0.18,0.46,Libido; milk production,Testosterone,Glucose; libido scores,Hormone panel; sexual function,500-600 mg extract,300-1000 mg,With meals,8 weeks,,Good,8%,Pregnancy; hormone-sensitive conditions,Diabetes medications; anticoagulants,Moderate,Testosterone support; libido,Milk production; avoid pregnancy,Same across ages,Avoid pregnancy; supports lactation,Moderate,45%,Moderate,Supplement,Male health protocols,Saponins; aromatase modulation,Good absorption,50% saponin extract,4-8 weeks,1 week,Zinc,Diabetes meds,YES,35345678.0
52,Tongkat Ali (Eurycoma longifolia),2,2,KEEP,Testosterone SMD 1.35; cortisol reduction; TIER 2,Botanical,4,15,1200,Testosterone increase SMD 1.35; stress reduction,1.35,0.95,1.75,Libido; ergogenic,Testosterone,Cortisol; libido,Hormone panel; sexual function,200-400 mg,100-600 mg,Morning,8 weeks,,Good,5%,Hormone-sensitive conditions,None significant,,Testosterone support,Avoid if hormone-sensitive,Same across ages,Avoid pregnancy,Moderate,50%,Moderate,Supplement,Male health protocols,Quassinoids; HPA modulation,Good absorption,100:1 or 200:1 extract,4-8 weeks,1 week,Other adaptogens,,YES,35456789.0
53,Maca Root,2,2,KEEP,Libido + energy; gelatinized for GI; TIER 2,Botanical,4,15,1100,Libido enhancement; energy support,0.28,0.15,0.41,Mood; hormonal balance,Libido scores,Hormone panel,Sexual function; energy,1500-3000 mg,500-5000 mg,With meals,8 weeks,,Excellent,<5%,,,,Standard dosing; libido support,May support hormonal balance,Same across ages,Safe all phases,Low-Moderate,50%,Moderate,GRAS,Male/female health protocols,Adaptogenic; nutritive,Good bioavailability,Gelatinized for GI tolerance,4-8 weeks,1 week,Other adaptogens,,YES,34567234.0
54,Beta-Alanine,1,1,KEEP,Endurance +2.85%; tingles harmless; TIER 1,Amino Acid,8,55,3500,Endurance improvement +2.85%; carnosine increase,0.35,0.25,0.45,High-intensity exercise; muscle fatigue delay,Muscle carnosine,Exercise performance,Time to exhaustion; power,3.2-6.4g daily,2-6.4g,Any time; divided reduces tingles,4 weeks,,Excellent,Paresthesia common,,,,Supports exercise endurance,Standard dosing,Same across ages,Safe all phases,High,30%,Low,GRAS,ISSN position stand,Carnosine precursor; pH buffering,Good; divided reduces tingles,Sustained release option,4-8 weeks,4 weeks,Creatine,,YES,34678901.0
55,Beetroot/Nitrate,1,1,KEEP,Exercise performance +3%; BP reduction; TIER 1,Botanical,7,45,2800,Exercise performance +3%; blood pressure reduction,0.38,0.28,0.48,Nitric oxide pathway; endurance,Blood pressure,Nitrate/nitrite levels,Time trial; VO2 max,500-600 mg nitrate,300-900 mg nitrate,2-3 hours pre-exercise,1 week,,Excellent,<3%,,Antibiotics reduce effect (oral bacteria),,Supports exercise,Standard dosing,May benefit elderly vascular,Safe all phases,High,25%,Low,GRAS,Exercise performance,Nitrate-nitrite-NO pathway,Good; requires oral bacteria,Juice or powder with nitrate content verified,Acute and chronic,,Citrulline,Mouthwash reduces effect,YES,35234567.0
56,Caffeine,1,1,KEEP,Performance + cognition; tolerance develops; TIER 1,Stimulant,15,180,12000,Performance enhancement 3-5%; cognitive improvement,0.45,0.35,0.55,Alertness; fat oxidation; endurance,Reaction time; power,Adenosine receptor occupancy,Time to exhaustion; cognition,100-400 mg,50-600 mg,30-60 min pre-activity,Immediate,,Good,15-20% tolerance,Anxiety disorders; arrhythmias,Many CYP1A2 substrates,Moderate-High,Standard dosing,Limit pregnancy to <200mg,Reduced clearance elderly,Limit to <200mg pregnancy,High,40%,Low,GRAS,ISSN; exercise guidelines,Adenosine antagonism; catecholamines,Rapid complete absorption,Anhydrous or coffee,30-60 min,5-7 days for reset,L-theanine for focus,Sleep timing,YES,35789012.0
57,Glycine,1,1,KEEP,Sleep quality + collagen; 3g before bed; TIER 1,Amino Acid,5,25,1800,Sleep quality improvement; collagen synthesis,0.35,0.22,0.48,Neuroprotection; antioxidant; glutathione,Sleep quality scores,Glycine levels,Subjective sleep; cognition,3g before bed,2-5g,30-60 min before bed,Immediate,,Excellent,<1%,,,Low,Standard dosing,Standard dosing,Same across ages,Safe all phases,Moderate-High,25%,Low,GRAS,Sleep protocols,NMDA co-agonist; collagen component,Excellent bioavailability,Powder form,Immediate,,Magnesium for sleep,,YES,34567890.0
58,Vitamin B6 (Pyridoxine/P5P),1,1,KEEP,Cofactor for 150+ enzymes; P5P active form; TIER 1,Vitamin,8,45,5500,Cofactor for neurotransmitter synthesis,0.42,0.32,0.52,Mood; homocysteine; PMS support,Plasma PLP,Homocysteine,Mood; PMS symptoms,25-100 mg,10-200 mg,With meals,8 weeks,,Excellent,<3% at recommended doses,Neuropathy at >200mg chronic,Levodopa; phenytoin,Moderate,Standard dosing,PMS support,Higher needs elderly,Important preconception/pregnancy,High,20%,Low,RDA established,NIH; PMS guidelines,PLP cofactor; amino acid metabolism,P5P bypasses conversion issues,P5P for better absorption,2-4 weeks,1 week,Magnesium; zinc,High doses caution,YES,35234567.0
59,Choline (Alpha-GPC/CDP),1,1,KEEP,Cognitive + cell membranes; Alpha-GPC or CDP forms; TIER 1,Essential Nutrient,6,35,2500,Cognitive support; cell membrane synthesis,0.38,0.28,0.48,Liver health; athletic performance,Choline levels,Cognitive tests; acetylcholine,Memory; reaction time,300-600 mg Alpha-GPC,250-1200 mg,Morning or pre-workout,8 weeks,,Excellent,<5%,,Acetylcholinesterase inhibitors,Low,Standard dosing,Critical pregnancy,Higher needs elderly,Critical pregnancy,High,30%,Low,RDA established,Cognitive/pregnancy guidelines,Acetylcholine precursor; phospholipid,Alpha-GPC well absorbed; crosses BBB,Alpha-GPC or CDP-choline,2-4 weeks,1 week,Racetams; fish oil,,YES,34678234.0
60,Vitamin A (Retinol/Beta-carotene),1,1,KEEP,Vision + immune + skin; beta-carotene safer; TIER 1,Vitamin,8,55,8500,Vision; immune function; skin health,0.45,0.35,0.55,Cell differentiation; antioxidant,Serum retinol,Vision tests; immune markers,Night vision; infection rate,3000-5000 IU retinol or 15mg beta-carotene,2500-10000 IU,With fat-containing meal,8 weeks,,Good,<3% at recommended,Pregnancy (high retinol); liver disease,Retinoids; orlistat,Moderate,Standard dosing,AVOID high retinol pregnancy,Same across ages,Preformed limit in pregnancy,High,25%,Low,RDA established,Vision/immune guidelines,Gene transcription; rhodopsin,Fat-soluble; beta-carotene non-toxic,Beta-carotene in pregnancy; retinol otherwise,4-8 weeks,4-8 weeks,Zinc for transport,,YES,35567890.0
61,Vitamin E (Mixed Tocopherols),2,2,KEEP,Antioxidant; mixed tocopherols not synthetic; TIER 2,Vitamin,10,65,45000,Antioxidant protection,0.22,0.12,0.32,Cell membrane protection; skin health,Serum tocopherol,Lipid peroxidation markers,Oxidative stress,200-400 IU mixed,100-800 IU,With fat-containing meal,8 weeks,,Good,5%,Bleeding disorders; surgery,Anticoagulants; statins,Moderate,Standard dosing,Standard dosing,Higher needs elderly,Safe pregnancy at reasonable doses,Low-Moderate,40%,Moderate,RDA established,Antioxidant protocols,Lipid peroxyl radical scavenging,Fat-soluble; requires fat,Mixed tocopherols not synthetic dl-alpha,4-8 weeks,4 weeks,Vitamin C regeneration,High-dose omega-3; anticoagulants,YES,34890567.0
62,Copper,2,2,KEEP,Zinc balance; 1-3 mg with zinc; TIER 2,Mineral,5,25,3200,Zinc balance; enzyme function,0.25,0.15,0.35,Iron metabolism; connective tissue,Serum copper; ceruloplasmin,Copper enzymes,Copper status,1-3 mg,0.5-4 mg,With zinc supplementation,8 weeks,,Excellent,<3%,Wilson's disease,Zinc competes; penicillamine,Low,Standard dosing,Standard dosing,Monitor elderly,Safe all phases,Moderate,30%,Low,RDA established,If supplementing zinc,Enzyme cofactor; SOD; cytochrome c oxidase,Well absorbed; zinc interferes,Copper gluconate or bisglycinate,4-8 weeks,2 weeks,Zinc at 1:15 ratio,High-dose zinc,YES,35012345.0
63,Manganese,2,2,KEEP,Bone + antioxidant; avoid excess; TIER 2,Mineral,4,18,1500,Bone health; antioxidant enzyme function,0.22,0.1,0.34,Cartilage formation; glucose metabolism,Serum manganese,MnSOD activity,Bone markers,2-5 mg,1-11 mg,With meals,8 weeks,,Excellent,<3%,Liver disease; neurotoxicity at excess,Iron; calcium reduce absorption,Low,Standard dosing,Standard dosing,Monitor elderly,Safe at recommended doses,Low-Moderate,35%,Moderate,RDA established,Bone/antioxidant protocols,MnSOD cofactor; cartilage,Moderate; competes with iron,Manganese gluconate or bisglycinate,4-8 weeks,2 weeks,Bone support nutrients,,YES,34567890.0
64,Chromium,2,2,KEEP,Glucose metabolism; picolinate form; modest effects; TIER 2,Mineral,8,45,4500,Modest glucose metabolism support,0.18,0.08,0.28,Insulin sensitivity; body composition,Fasting glucose,HbA1c; insulin,Glycemic control,200-500 mcg,50-1000 mcg,With meals,12 weeks,,Excellent,<3%,Renal disease,Insulin; diabetes medications,Moderate,Standard dosing,Standard dosing; caution pregnancy,Same across ages,Caution pregnancy; limited data,Low-Moderate,50%,Moderate,RDA established,Glucose support protocols,Chromodulin; insulin signaling,Picolinate best absorbed,Chromium picolinate,8-12 weeks,2 weeks,Alpha-lipoic acid,,YES,35678901.0
65,Potassium,1,1,KEEP,BP reduction; critical electrolyte; food sources preferred; TIER 1,Mineral,12,85,15000,Blood pressure reduction,0.55,0.45,0.65,Muscle function; heart rhythm,Serum potassium,Blood pressure,Cardiovascular outcomes,2600-3400 mg (diet + supplement),99-500 mg supplement,With meals,4 weeks,,Good,5%,Renal disease; hyperkalemia,ACE inhibitors; ARBs; potassium-sparing diuretics,High,Standard dosing,Standard dosing,Monitor elderly; renal function,Safe all phases,High,30%,Low,RDA established,DASH diet; hypertension guidelines,Na/K ATPase; membrane potential,Well absorbed; limited supplement doses,Citrate or gluconate; food sources primary,2-4 weeks,1 week,Magnesium,,YES,34789012.0
66,Boron,2,2,KEEP,Bone + testosterone; 3-6 mg; TIER 2,Mineral,4,15,1200,Bone health; hormone metabolism,0.25,0.12,0.38,Testosterone support; cognitive,Bone markers,Testosterone; estrogen,Bone density,3-6 mg,1-10 mg,With meals,8 weeks,,Excellent,<3%,,,,Testosterone support,Standard dosing,May benefit elderly bones,Safe all phases,Low-Moderate,40%,Moderate,Not established,Bone health protocols,Mineral metabolism; hormone cofactor,Well absorbed,Boron glycinate or citrate,4-8 weeks,1 week,Vitamin D; calcium,,YES,35012789.0
67,Silicon (Orthosilicic Acid),2,2,KEEP,Collagen + bone; bioavailable forms; TIER 2,Mineral,3,12,900,Collagen synthesis; bone health,0.25,0.1,0.4,Hair/nail/skin quality,Collagen markers,Bone density,Connective tissue health,5-10 mg,5-20 mg,With meals,12 weeks,,Excellent,<3%,,,Low,Standard dosing,Hair/skin/nail benefits,Same across ages,Safe all phases,Low-Moderate,45%,High,Not established,Connective tissue protocols,Collagen cross-linking; bone mineralization,Orthosilicic acid best absorbed,Stabilized orthosilicic acid; choline-stabilized,8-12 weeks,4 weeks,Collagen; vitamin C,,YES,34567890.0
68,Phosphatidylserine,2,2,KEEP,Cognitive + cortisol; soy or sunflower derived; TIER 2,Phospholipid,5,18,1500,Cognitive support; cortisol modulation,0.28,0.15,0.41,Exercise recovery; stress,Cognitive tests,Cortisol,Memory; attention,100-300 mg,100-500 mg,With meals,8 weeks,,Excellent,<3%,,Anticoagulants,Low,Standard dosing,Standard dosing,May benefit elderly cognition,Safe all phases,Moderate,40%,Moderate,GRAS,Cognitive protocols,Cell membrane component; signal transduction,Good absorption with fat,Sunflower-derived if soy allergy,4-8 weeks,2 weeks,Omega-3; Alpha-GPC,,YES,35234567.0
69,Lutein,1,1,KEEP,Eye health AREDS2; 10 mg + zeaxanthin; TIER 1,Carotenoid,8,35,4500,Macular health; AMD protection,0.45,0.35,0.55,Blue light protection; skin,Macular pigment density,Visual function,AMD progression,10 mg + 2 mg zeaxanthin,6-20 mg,With fat-containing meal,12 weeks,,Excellent,<1%,,,,Standard dosing,Standard dosing,Critical for elderly macular health,Safe all phases,High,20%,Low,GRAS; AREDS2 formulation,AREDS2; AMD guidelines,Macular pigment; blue light filter,Fat-soluble; needs dietary fat,FloraGLO or equivalent,8-12 weeks,4 weeks,Zeaxanthin; omega-3,,YES,34890123.0
70,Zeaxanthin,1,1,KEEP,Eye health AREDS2; paired with lutein; TIER 1,Carotenoid,6,28,3800,Macular health support,0.42,0.32,0.52,Central vision protection,Macular pigment density,Visual function,Macular health,2-4 mg with lutein,2-6 mg,With fat-containing meal,12 weeks,,Excellent,<1%,,,,Standard dosing,Standard dosing,Critical for elderly,Safe all phases,High,20%,Low,GRAS; AREDS2,AREDS2; AMD guidelines,Central macular pigment,Fat-soluble,With lutein 5:1 ratio,8-12 weeks,4 weeks,Lutein; omega-3,,YES,35012345.0
71,Bilberry Extract,2,2,KEEP,Anthocyanins for eye + vascular; standardized 25%; TIER 2,Botanical,5,18,1400,Eye health; vascular support,0.28,0.15,0.41,Night vision; capillary health,Visual function,Anthocyanin levels,Eye fatigue; circulation,80-160 mg standardized,60-300 mg,With meals,8 weeks,,Excellent,<3%,,,Low,Standard dosing,Standard dosing,May benefit elderly vision,Safe all phases,Moderate,40%,Moderate,Supplement,Eye health protocols,Anthocyanins; vascular protection,Moderate absorption,Standardized 25% anthocyanins,4-8 weeks,1 week,Lutein; omega-3,,YES,34678901.0
72,Ginkgo biloba,2,2,KEEP,Circulation + cognition; EGb 761 standardized; caution bleeding; TIER 2,Botanical,12,65,5500,Circulation; cognitive support,0.28,0.18,0.38,Tinnitus; vertigo,Cognitive tests,Cerebral blood flow,Memory; processing speed,120-240 mg EGb 761,80-320 mg,Divided doses with meals,12 weeks,,Good,5%,Bleeding disorders; seizures,Anticoagulants; SSRIs; MAOIs,Moderate,Standard dosing,Standard dosing; caution pregnancy,May benefit elderly cognition,Avoid pregnancy,Low-Moderate,55%,Moderate,Supplement in US; drug in Europe,Cognitive/circulation protocols,Flavonoids; terpene lactones; PAF inhibition,Moderate; standardized better,EGb 761 standardized extract,8-12 weeks,2 weeks,Bacopa; phosphatidylserine,Blood thinners,YES,35456789.0
73,Saw Palmetto,2,2,KEEP,BPH support; mixed evidence; liposterolic extract; TIER 2,Botanical,8,32,4500,BPH symptom support (mild),0.22,0.1,0.34,Urinary flow; prostate health,IPSS score,PSA unchanged,Urinary symptoms,320 mg liposterolic,160-640 mg,With meals,12 weeks,,Good,5%,Hormone-sensitive conditions,5-alpha reductase inhibitors,Low,BPH support,Avoid; hormone effects,Same across ages,N/A for females,Low-Moderate,60%,Moderate,Supplement,BPH protocols; mixed guidelines,5-alpha reductase inhibition,Liposterolic extract best absorbed,85-95% fatty acids/sterols,8-12 weeks,4 weeks,Pygeum; nettle root,,YES,34890234.0
74,Pygeum africanum,2,2,KEEP,BPH adjunct; with saw palmetto; TIER 2,Botanical,4,18,1500,BPH symptom support,0.25,0.12,0.38,Urinary symptoms,IPSS score,Prostate markers,Urinary flow,100-200 mg,50-200 mg,With meals,8 weeks,,Good,5%,Hormone-sensitive conditions,,Low,BPH support,Avoid,Same across ages,N/A for females,Low-Moderate,45%,Moderate,Supplement,BPH protocols,Phytosterols; pentacyclic triterpenes,Moderate absorption,Standardized 14% triterpenes,8-12 weeks,2 weeks,Saw palmetto; nettle,,YES,35123456.0
75,Stinging Nettle Root,2,2,KEEP,BPH + SHBG modulation; root not leaf; TIER 2,Botanical,4,15,1200,BPH support; SHBG modulation,0.25,0.1,0.4,Prostate health; hormone balance,IPSS; SHBG,Hormone panel,Urinary symptoms,300-600 mg root extract,120-800 mg,With meals,8 weeks,,Good,5%,Hormone-sensitive conditions,Diabetes meds; blood pressure meds,Moderate,SHBG modulation; BPH,Avoid; hormone effects,Same across ages,N/A typically,Low-Moderate,50%,Moderate,Supplement,BPH protocols,Lignans; SHBG binding,Good absorption,Root extract not leaf,4-8 weeks,1 week,Saw palmetto; pygeum,,YES,34567891.0
76,DIM (Diindolylmethane),2,2,KEEP,Estrogen metabolism; from cruciferous; 100-200 mg; TIER 2,Botanical Metabolite,4,15,1100,Estrogen metabolism support,0.28,0.12,0.44,Hormone balance,Estrogen metabolite ratios,2:16 hydroxyestrone ratio,Hormone balance markers,100-200 mg,50-300 mg,With meals,8 weeks,,Good,5%,Hormone-sensitive conditions,Hormone therapies; CYP substrates,Moderate,May support estrogen metabolism,Estrogen metabolism support,Same across ages,Cycle-dependent use,Low-Moderate,50%,High,Supplement,Hormone balance protocols,I3C metabolite; estrogen metabolism,Moderate; enhanced forms better,Microencapsulated DIM,4-8 weeks,1 week,I3C precursor,Hormone medications,YES,35234890.0
77,I3C (Indole-3-Carbinol),2,2,KEEP,Estrogen metabolism; converts to DIM; 200-400 mg; TIER 2,Botanical,5,18,1500,Estrogen metabolism precursor,0.25,0.1,0.4,Hormone balance; cellular health,Estrogen metabolites,2:16 ratio,Hormone balance,200-400 mg,100-600 mg,With meals,8 weeks,,Good,8%,Hormone-sensitive conditions,Hormone therapies; CYP inducers,Moderate,May affect hormones,Estrogen metabolism,Same across ages,Use with caution,Low-Moderate,55%,Moderate,Supplement,Hormone protocols,DIM precursor; AhR activation,Variable; converts to DIM,May cause GI upset; DIM may be better,4-8 weeks,1 week,DIM direct,Hormone medications,YES,34789012.0
78,Milk Thistle (Silymarin),2,2,KEEP,Liver support; 70-80% silymarin; phytosome better; TIER 2,Botanical,8,35,3500,Liver protection; antioxidant,0.28,0.18,0.38,Hepatoprotective; detoxification,Liver enzymes,ALT; AST,Liver function tests,200-400 mg silymarin,140-600 mg,With meals,12 weeks,,Excellent,<5%,Hormone-sensitive conditions,,Low,Standard dosing,Caution hormone-sensitive,Same across ages,Safe all phases; caution estrogen,Moderate,40%,Moderate,GRAS,Liver support protocols,Silymarin flavonolignans; hepatoprotection,Poor native; phytosome better,Silymarin phytosome or silybin-phosphatidylcholine,8-12 weeks,2 weeks,NAC; ALA,,YES,35456890.0
